,Liver_ILC1_1,Liver_ILC1_2,Liver_ILC1_3,Liver_NK_1,Liver_NK_2,Liver_NK_3
Gm24061,0,0,0,0,0,0
Gm24062,0,0,0,0,0,0
Gm24063,0,0,0,0,0,0
Gm24064,0,0,0,0,0,0
Gm24065,0,0,0,0,0,0
Gm24066,0,0,0,0,0,0
Gm24067,0,0,0,0,0,0
Gm24068,0,0,0,0,0,0
Gm24069,0,0,0,0,0,0
Gm24070,0,0,0,0,0,0
Gm24071,0,0,0,0,0,0
Gm24072,0,0,0,0,0,0
Gm24073,0,0,0,0,0,0
Gm24074,0,0,0,1,0,0
Gm24075,0,0,0,0,0,0
Gm24076,0,0,0,0,0,0
Gm24077,0,0,0,0,0,0
Gm24078,0,0,0,0,0,0
Gm24079,0,0,0,0,0,0
Gm24080,0,0,0,0,0,0
Gm24081,0,0,0,0,0,0
Gm24082,0,0,0,0,0,0
Gm24083,0,0,0,0,0,0
Gm24084,0,0,0,0,0,0
Gm24085,0,0,0,0,0,0
Gm24086,0,0,0,0,0,0
Gm24088,0,0,0,0,0,0
Gm24089,0,0,0,0,0,0
Gm24091,0,0,0,0,0,0
Gm24092,0,0,0,0,0,0
Gm24095,0,0,0,0,0,0
Gm24096,0,0,0,0,0,0
Gm24097,0,1,2,0,0,0
Gm24098,0,0,0,0,0,0
Gm24099,0,0,0,0,0,0
Gm24100,0,0,0,0,0,0
Gm24103,0,0,0,0,0,0
Gm24105,0,0,0,0,0,0
Gm24106,0,0,0,0,0,0
Gm24108,0,0,0,0,0,0
Gm24109,0,0,0,0,0,0
Gm24111,0,0,0,0,0,0
Gm24112,2,0,0,0,0,0
Gm24113,0,0,0,0,0,0
Gm24115,0,0,0,0,0,0
Gm24116,0,0,0,0,0,0
Gm24117,0,0,0,0,0,0
Gm24118,0,0,0,0,0,0
Gm24119,24,20,5,18,32,31
Gm24120,0,0,0,0,0,0
Gm24121,0,0,0,0,0,0
Gm24122,0,0,0,0,0,0
Gm24123,0,0,0,0,0,0
Gm24124,0,0,0,0,0,0
Gm24125,0,0,0,0,0,0
Gm24126,0,0,0,0,0,0
Gm24127,0,0,0,0,0,0
Gm24128,0,0,0,0,0,0
Gm24129,0,0,0,0,0,0
Gm24130,0,0,0,0,0,0
Gm24131,0,0,0,0,0,0
Gm24132,0,0,0,0,0,0
Gm24133,0,0,0,0,0,0
Gm24134,0,0,0,0,0,0
Gm24135,0,0,0,0,0,0
Gm24136,0,0,0,0,0,0
Gm24137,0,0,0,0,0,0
Gm24138,0,0,0,0,0,0
Gm24139,3,0,3,1,0,0
Gm24140,0,0,0,0,0,0
Gm24141,0,0,0,0,0,0
Gm24142,0,0,0,0,0,0
Gm24143,0,0,0,0,0,0
Gm24144,0,0,0,0,0,0
Gm24145,0,0,0,0,0,1
Gm24146,0,0,0,0,0,0
Gm24147,0,0,0,0,0,0
Gm24148,0,0,0,0,0,0
Gm24149,0,0,0,0,0,0
Gm2415,3,2,1,0,0,1
Gm24150,0,0,0,0,0,0
Gm24151,0,0,0,0,0,0
Gm24152,0,0,0,0,0,0
Gm24153,0,0,0,0,0,0
Gm24154,0,0,0,0,0,0
Gm24155,0,0,0,0,0,0
Gm24157,0,0,0,0,0,0
Gm24158,0,0,0,0,0,0
Gm24159,0,0,0,0,0,0
Gm24160,0,0,0,0,0,0
Gm24161,0,2,1,0,1,0
Gm24162,0,0,0,0,0,0
Gm24163,0,0,0,0,0,0
Gm24164,0,0,0,0,0,0
Gm24165,0,0,0,0,0,0
Gm24166,0,0,0,0,0,0
Gm24167,0,0,0,0,0,0
Gm24168,0,0,0,0,0,0
Gm24169,0,0,0,0,0,0
Gm24170,0,0,0,0,0,0
Gm24171,0,0,0,0,0,0
Gm24172,0,0,0,0,0,0
Gm24173,0,0,0,0,0,0
Gm24174,0,0,0,0,0,0
Gm24175,0,0,0,0,0,0
Gm24176,0,0,0,0,0,0
Gm24177,0,0,0,0,0,0
Gm24178,0,0,0,0,0,0
Gm24179,0,0,0,0,0,0
Gm24180,0,0,0,0,0,0
Gm24182,0,0,0,0,0,0
Gm24183,0,0,0,0,0,0
Gm24184,0,0,0,0,0,0
Gm24185,0,0,0,0,0,0
Gm24186,0,0,0,0,0,0
Gm24187,0,0,0,0,0,0
Gm24188,0,0,0,0,0,0
Gm24189,0,0,0,0,0,0
Gm24190,0,0,0,0,0,0
Gm24191,0,0,0,0,0,0
Gm24192,0,0,0,0,0,0
Gm24193,0,0,0,0,0,0
Gm24194,0,0,0,0,0,0
Gm24195,0,0,0,0,0,0
Gm24196,0,0,0,0,0,0
Gm24197,0,0,0,0,0,0
Gm24198,0,0,0,0,1,0
Gm24199,0,0,0,0,0,0
Gm2420,3,3,1,3,0,1
Gm24200,0,0,0,0,0,0
Gm24201,0,0,0,0,0,0
Gm24202,0,0,0,0,0,0
Gm24203,0,0,0,0,0,0
Gm24204,0,0,0,0,0,0
Gm24205,0,0,0,0,0,0
Gm24206,0,0,0,0,0,0
Gm24207,0,0,0,1,1,0
Gm24208,0,0,0,0,0,0
Gm24210,0,0,0,0,0,0
Gm24211,0,0,0,0,0,0
Gm24212,0,0,0,0,0,0
Gm24213,0,0,0,0,0,0
Gm24216,0,0,0,0,0,0
Gm24217,0,0,0,0,0,0
Gm24218,0,0,0,0,0,0
Gm24219,0,0,0,0,0,0
Gm24220,0,0,0,0,0,0
Gm24221,0,0,0,0,0,0
Gm24222,0,0,0,0,0,0
Gm24223,0,0,0,0,0,0
Gm24224,1,2,2,4,6,6
Gm24225,0,0,0,0,0,0
Gm24226,0,0,0,0,0,0
Gm24228,0,0,0,0,0,0
Gm24229,0,0,0,0,0,0
Gm2423,57,60,80,132,173,178
Gm24230,0,0,0,0,0,0
Gm24231,0,0,0,0,0,0
Gm24232,0,0,0,0,0,0
Gm24233,0,1,0,3,1,0
Gm24234,0,0,0,0,0,0
Gm24235,0,0,0,0,0,0
Gm24236,0,0,0,0,0,0
Gm24237,0,0,0,0,0,0
Gm24238,0,0,0,0,0,0
Gm24239,0,0,0,0,0,0
Gm24240,0,0,0,0,0,0
Gm24241,0,0,0,0,0,0
Gm24242,0,0,0,0,0,0
Gm24244,0,0,0,0,0,0
Gm24245,0,1,0,0,0,0
Gm24246,0,0,0,0,1,0
Gm24248,0,0,0,0,0,0
Gm24249,0,0,0,0,0,0
Gm24250,0,0,0,0,0,0
Gm24251,0,0,0,0,0,0
Gm24252,0,0,0,0,0,1
Gm24253,0,0,0,0,0,0
Gm24254,0,0,0,0,0,0
Gm24255,0,0,0,0,0,0
Gm24256,0,0,0,0,0,0
Gm24257,0,0,0,0,0,0
Gm24258,0,0,0,0,0,0
Gm24259,0,0,0,0,0,0
Gm24260,0,0,0,0,0,0
Gm24261,0,0,0,0,0,0
Gm24262,0,0,0,0,0,0
Gm24263,0,0,0,0,0,0
Gm24264,0,0,0,0,0,0
Gm24265,27,42,26,35,47,40
Gm24267,0,0,0,0,0,0
Gm24268,0,0,0,0,0,0
Gm24269,0,0,0,0,0,0
Gm2427,1,0,0,0,0,0
Gm24270,0,0,0,0,0,0
Gm24271,0,0,0,0,0,0
Gm24272,0,0,0,0,0,0
Gm24273,0,0,0,0,1,1
Gm24274,0,0,0,0,0,0
Gm24275,0,0,0,0,0,0
Gm24276,0,0,0,0,0,0
Gm24277,0,0,0,0,0,0
Gm24278,0,0,0,0,0,0
Gm24279,0,0,0,0,0,0
Gm24280,0,0,0,0,0,0
Gm24281,0,0,0,0,0,0
Gm24282,0,0,0,0,0,0
Gm24283,0,0,0,0,0,0
Gm24284,0,0,0,0,0,0
Gm24285,0,0,0,0,0,0
Gm24286,0,0,0,0,0,0
Gm24288,0,0,0,0,0,0
Gm24289,0,0,0,0,0,0
Gm2429,0,0,0,0,0,0
Gm24290,0,0,0,0,0,0
Gm24291,0,0,0,0,0,0
Gm24292,0,0,0,0,0,0
Gm24294,0,0,0,0,0,0
Gm24295,0,0,0,0,0,0
Gm24296,0,0,0,0,0,0
Gm24297,0,0,0,0,0,0
Gm24298,0,0,0,0,0,0
Gm24299,0,0,0,0,0,0
Gm24300,0,0,0,0,0,0
Gm24302,0,0,0,0,0,0
Gm24303,0,0,0,0,0,0
Gm24304,0,0,0,0,0,0
Gm24305,0,0,0,0,0,0
Gm24306,0,0,0,0,0,0
Gm24307,0,0,0,0,0,0
Gm24308,0,0,0,0,0,0
Gm2431,0,0,0,0,0,0
Gm24310,0,0,0,0,0,0
Gm24311,0,0,0,0,0,0
Gm24312,0,0,0,0,0,0
Gm24313,0,0,0,0,0,0
Gm24314,0,0,0,0,0,0
Gm24315,0,0,0,0,0,0
Gm24316,0,0,0,0,0,0
Gm24317,0,0,0,0,0,0
Gm24318,0,0,0,0,0,0
Gm24319,0,0,0,0,0,0
Gm24321,0,0,0,0,0,0
Gm24322,0,0,0,0,0,0
Gm24323,0,0,0,0,0,0
Gm24325,0,0,0,0,0,0
Gm24326,0,0,0,0,0,0
Gm24327,0,0,0,0,0,0
Gm24328,0,0,0,0,0,0
Gm24330,0,1,0,0,0,0
Gm24331,0,0,0,0,0,0
Gm24332,0,0,0,0,0,0
Gm24333,0,0,0,0,0,0
Gm24334,0,0,0,0,0,0
Gm24335,0,0,0,0,0,0
Gm24336,0,0,0,0,3,2
Gm24337,0,0,0,0,0,0
Gm24338,0,0,0,0,0,0
Gm24339,0,0,0,0,0,0
Gm24340,0,0,0,0,0,0
Gm24341,0,0,0,0,0,0
Gm24342,0,0,0,0,0,0
Gm24343,0,0,0,0,0,0
Gm24345,0,0,0,0,0,0
Gm24346,2,0,0,0,0,0
Gm24347,1,0,0,1,1,0
Gm24348,0,0,0,0,0,0
Gm24349,0,0,0,0,0,0
Gm24350,0,0,0,0,0,0
Gm24352,0,0,0,0,0,0
Gm24355,0,0,0,0,0,0
Gm24356,0,0,0,0,0,0
Gm24357,0,0,0,0,0,0
Gm24358,0,0,0,0,0,0
Gm24359,0,0,0,0,0,0
Gm24362,1,4,0,1,3,3
Gm24363,0,0,0,0,0,0
Gm24365,0,0,0,0,0,0
Gm24366,1,0,0,0,0,1
Gm24368,0,0,0,0,0,0
Gm24369,0,0,0,0,0,0
Gm24370,0,0,0,0,0,0
Gm24371,2,0,0,1,1,0
Gm24372,0,0,0,0,0,0
Gm24373,0,0,0,0,0,0
Gm24374,0,0,0,0,0,0
Gm24375,0,0,0,0,0,0
Gm24376,0,0,0,0,0,0
Gm24377,0,0,0,0,0,0
Gm24378,0,0,0,0,0,0
Gm24379,0,0,0,0,0,0
Gm24380,0,0,0,0,0,0
Gm24381,0,0,0,0,0,0
Gm24382,0,0,0,0,0,0
Gm24383,0,0,0,0,0,0
Gm24384,0,0,0,0,0,0
Gm24385,0,0,0,0,0,0
Gm24387,0,0,0,0,0,0
Gm24388,0,0,0,0,0,0
Gm24389,0,0,0,1,0,0
Gm24390,0,0,0,0,0,0
Gm24391,0,0,0,0,0,0
Gm24392,0,0,0,0,0,0
Gm24393,0,0,0,0,0,0
Gm24394,0,0,0,0,0,0
Gm24395,0,0,0,0,0,0
Gm24396,0,0,0,0,0,0
Gm24398,0,0,0,0,0,0
Gm24399,0,0,0,0,0,0
Gm24400,0,0,0,0,0,0
Gm24401,0,0,0,0,0,0
Gm24402,0,0,0,0,0,0
Gm24403,0,0,0,0,0,0
Gm24405,0,0,0,0,0,0
Gm24406,0,0,0,0,0,0
Gm24407,16,16,18,13,17,14
Gm24409,0,0,0,0,0,0
Gm24410,0,0,0,0,0,0
Gm24411,0,0,0,0,0,0
Gm24412,0,0,0,0,0,0
Gm24414,0,0,0,0,0,0
Gm24415,0,0,0,0,0,0
Gm24416,0,0,0,0,0,0
Gm24417,0,0,0,0,0,0
Gm24418,0,0,0,0,0,0
Gm24419,0,0,0,0,0,0
Gm24420,0,0,0,0,0,0
Gm24422,0,0,0,0,0,0
Gm24423,0,0,0,0,0,0
Gm24424,0,0,0,0,1,0
Gm24427,0,0,0,0,0,0
Gm24429,0,0,0,0,0,0
Gm24430,0,0,0,0,0,0
Gm24431,0,0,0,0,0,0
Gm24432,0,0,0,0,0,0
Gm24433,0,0,0,0,0,0
Gm24434,0,0,0,0,0,0
Gm24435,0,0,0,0,0,0
Gm24436,0,0,0,0,0,0
Gm24437,0,0,0,0,0,0
Gm24438,0,0,0,0,0,0
Gm24439,0,0,0,0,0,0
Gm24440,0,0,0,0,0,0
Gm24441,0,0,0,0,0,0
Gm24442,0,0,0,0,0,0
Gm24443,0,0,0,0,0,0
Gm24444,0,0,0,0,0,0
Gm24445,0,0,0,0,0,0
Gm24446,0,0,0,0,0,0
Gm24447,0,0,0,0,2,1
Gm24448,0,0,0,0,0,0
Gm24449,0,0,1,0,0,0
Gm2445,2,1,1,0,2,1
Gm24451,3,2,3,3,3,7
Gm24452,0,0,0,0,0,0
Gm24453,0,0,0,0,0,0
Gm24454,0,0,0,0,0,0
Gm24455,0,0,0,0,0,0
Gm24456,0,0,0,0,0,0
Gm24457,0,0,0,0,0,0
Gm24458,0,0,0,0,0,0
Gm24459,0,0,0,0,0,0
Gm24460,0,0,0,0,0,0
Gm24461,0,0,0,0,0,0
Gm24462,0,0,0,0,0,0
Gm24463,0,0,0,0,0,0
Gm24464,0,0,0,0,0,0
Gm24465,0,0,0,0,0,0
Gm24466,0,0,0,0,0,0
Gm24467,0,0,0,0,0,0
Gm24468,0,0,0,0,2,0
Gm24469,0,0,0,0,0,0
Gm2447,0,0,0,0,0,0
Gm24470,0,0,0,0,0,0
Gm24471,0,0,0,0,0,0
Gm24472,0,0,0,0,0,0
Gm24473,0,0,0,0,0,0
Gm24474,0,0,0,0,0,0
Gm24475,0,0,0,0,0,0
Gm24476,0,0,0,0,0,0
Gm24477,0,0,0,0,0,0
Gm24478,0,0,0,0,0,0
Gm2448,0,0,0,0,0,0
Gm24480,0,0,0,0,0,0
Gm24481,0,0,0,0,0,0
Gm24482,0,0,0,0,0,0
Gm24484,0,0,0,0,0,0
Gm24485,0,0,0,0,0,0
Gm24486,0,0,0,0,0,0
Gm24487,0,0,0,0,0,0
Gm24488,0,0,0,0,0,0
Gm2449,1,4,2,2,4,6
Gm24490,0,0,0,0,0,0
Gm24491,0,0,0,0,0,0
Gm24492,0,0,0,0,0,0
Gm24493,0,0,0,0,0,0
Gm24494,0,0,3,0,0,1
Gm24495,0,0,0,0,0,0
Gm24496,0,0,0,0,0,0
Gm24497,0,0,0,0,0,0
Gm24498,0,0,0,0,0,0
Gm24499,0,0,0,0,0,0
Gm24500,0,0,0,0,0,0
Gm24501,0,0,0,0,0,0
Gm24502,0,0,0,0,0,0
Gm24503,0,0,0,0,0,0
Gm24504,0,0,0,0,0,0
Gm24505,0,0,0,0,0,0
Gm24507,1,1,0,0,1,0
Gm24508,0,0,0,0,0,0
Gm24509,0,0,0,0,0,0
Gm2451,5,7,2,6,3,3
Gm24510,0,0,0,0,0,0
Gm24512,0,0,0,0,0,0
Gm24513,0,0,0,0,0,0
Gm24514,0,0,0,0,0,0
Gm24515,0,0,0,0,0,0
Gm24517,0,0,0,0,0,0
Gm24518,0,0,0,0,0,0
Gm24519,0,0,0,0,0,0
Gm24520,0,0,0,0,0,0
Gm24521,0,0,0,0,0,0
Gm24522,0,0,0,0,0,0
Gm24523,0,0,0,0,0,0
Gm24524,0,0,0,0,0,0
Gm24525,0,0,0,0,0,0
Gm24526,0,0,0,0,0,0
Gm24527,0,0,0,0,0,0
Gm24528,0,0,0,0,0,0
Gm2453,0,0,0,1,0,1
Gm24530,0,0,0,0,0,0
Gm24531,0,0,0,0,0,0
Gm24532,0,0,0,0,0,0
Gm24533,0,0,0,0,0,0
Gm24534,0,0,0,0,0,0
Gm24535,0,0,0,0,0,0
Gm24536,0,0,0,0,0,0
Gm24537,0,0,0,0,0,0
Gm24538,0,0,0,0,0,0
Gm24539,0,0,0,0,0,0
Gm24540,0,0,0,0,0,0
Gm24541,0,0,0,0,0,0
Gm24542,0,0,0,0,0,0
Gm24543,0,0,0,0,0,0
Gm24544,0,0,0,0,0,0
Gm24545,0,0,0,0,0,0
Gm24546,0,0,0,0,0,0
Gm24547,0,0,0,0,0,0
Gm24548,0,0,0,0,0,0
Gm24549,0,0,0,0,0,0
Gm24550,0,0,0,0,0,0
Gm24551,0,0,0,0,0,0
Gm24552,0,0,0,0,0,0
Gm24553,0,0,0,0,0,0
Gm24554,0,0,0,0,0,0
Gm24555,0,0,0,0,0,0
Gm24556,0,0,0,0,0,0
Gm24557,0,0,0,0,0,0
Gm24559,0,0,0,0,0,0
Gm24561,0,0,0,0,0,0
Gm24563,0,0,0,0,0,0
Gm24564,0,0,0,0,0,0
Gm24565,0,0,0,0,0,0
Gm24566,0,0,0,0,0,0
Gm24567,0,0,0,0,0,0
Gm24568,0,0,0,0,0,0
Gm24569,0,0,0,0,0,0
Gm24570,0,0,0,0,0,0
Gm24572,0,0,0,0,0,0
Gm24573,0,0,0,0,0,0
Gm24574,0,0,0,0,0,0
Gm24575,0,0,0,0,0,0
Gm24576,0,2,0,0,0,0
Gm24577,0,0,0,0,0,0
Gm24578,0,0,0,0,0,0
Gm24579,0,0,0,0,0,0
Gm24580,0,0,0,0,0,0
Gm24581,0,0,0,0,0,0
Gm24582,0,0,0,0,0,0
Gm24584,0,0,0,0,0,0
Gm24585,0,0,0,0,0,0
Gm24586,0,0,0,0,0,0
Gm24587,0,0,0,0,0,0
Gm24588,0,0,0,0,0,0
Gm24589,0,0,0,0,0,0
Gm24590,0,0,0,0,0,0
Gm24591,0,0,0,0,0,0
Gm24592,0,0,0,0,0,0
Gm24593,0,0,0,0,0,0
Gm24594,0,0,0,0,0,0
Gm24595,0,0,0,0,0,0
Gm24596,0,0,0,0,0,0
Gm24597,0,0,0,0,0,0
Gm24598,0,0,0,0,0,0
Gm24599,0,0,0,0,0,0
Gm24601,0,0,0,0,0,0
Gm24602,0,0,0,0,0,0
Gm24605,0,0,0,0,0,0
Gm24607,0,0,0,0,0,0
Gm24608,0,0,0,0,1,0
Gm24609,0,0,0,0,0,0
Gm24610,0,0,0,0,0,0
Gm24611,0,0,0,0,0,0
Gm24612,0,0,0,0,0,0
Gm24613,0,0,0,0,0,0
Gm24614,0,0,0,0,0,0
Gm24615,0,0,0,0,0,0
Gm24616,15,5,5,8,15,11
Gm24617,0,0,0,0,0,0
Gm24618,0,0,0,0,0,0
Gm24620,0,0,0,0,0,0
Gm24621,0,0,0,0,0,0
Gm24622,0,0,0,0,0,0
Gm24623,0,0,0,0,0,0
Gm24624,0,0,0,0,0,0
Gm24625,0,0,0,0,0,0
Gm24626,0,0,0,0,0,0
Gm24627,0,0,0,0,0,0
Gm24628,0,0,0,0,0,0
Gm24629,0,0,0,0,0,1
Gm24630,0,0,0,0,0,0
Gm24631,0,0,0,0,0,0
Gm24632,0,0,0,0,0,0
Gm24633,0,0,0,0,0,0
Gm24634,0,0,0,0,0,0
Gm24635,0,0,0,0,0,0
Gm24636,0,0,0,0,1,1
Gm24637,0,0,0,0,0,0
Gm24638,0,0,0,0,0,0
Gm24639,0,0,0,0,0,0
Gm2464,0,0,0,1,0,0
Gm24640,0,0,0,0,0,0
Gm24641,0,0,0,0,0,0
Gm24643,0,0,0,0,0,0
Gm24644,0,0,0,0,1,0
Gm24646,0,0,0,0,0,0
Gm24647,0,0,0,0,0,0
Gm24648,0,0,0,0,0,0
Gm24649,0,0,0,0,0,0
Gm24650,0,0,0,0,0,0
Gm24651,0,0,0,0,0,0
Gm24652,0,0,0,0,0,0
Gm24653,0,0,0,0,0,0
Gm24654,0,0,0,0,0,0
Gm24655,0,0,0,0,0,0
Gm24656,0,0,0,0,0,0
Gm24657,0,0,0,0,0,0
Gm24659,0,0,0,0,0,0
Gm24661,0,0,0,0,0,0
Gm24664,0,0,0,0,0,0
Gm24665,0,0,0,0,0,0
Gm24666,0,0,0,0,0,0
Gm24667,0,0,0,0,0,0
Gm24668,0,0,0,0,0,0
Gm24669,0,0,0,0,0,0
Gm2467,3,1,1,1,1,1
Gm24670,0,0,0,0,0,0
Gm24671,0,0,0,0,0,0
Gm24673,0,0,0,0,0,0
Gm24674,0,0,0,0,0,0
Gm24675,0,0,0,0,0,0
Gm24676,0,0,0,0,0,0
Gm24677,0,0,0,0,0,0
Gm24678,0,0,0,0,0,0
Gm24679,0,0,0,0,0,0
Gm24680,0,0,0,0,0,0
Gm24681,0,0,0,0,0,0
Gm24682,0,0,0,0,0,0
Gm24683,0,0,0,0,0,0
Gm24685,0,0,0,0,0,0
Gm24686,0,0,0,0,0,0
Gm24687,0,0,0,0,0,0
Gm24689,0,0,0,0,0,0
Gm24690,0,0,0,0,0,0
Gm24691,0,0,0,0,0,0
Gm24692,0,0,0,0,0,0
Gm24693,0,0,0,0,0,0
Gm24694,0,0,0,0,0,0
Gm24695,0,0,0,0,0,0
Gm24696,0,0,0,0,0,0
Gm24697,0,0,0,0,0,0
Gm24698,0,0,0,0,0,0
Gm24701,0,0,0,0,0,0
Gm24702,0,0,0,0,0,0
Gm24704,0,0,0,0,0,0
Gm24705,0,0,0,0,0,0
Gm24706,0,0,0,0,0,0
Gm24707,0,0,0,0,0,0
Gm24708,0,0,0,0,0,0
Gm24709,0,0,0,0,0,0
Gm24710,0,0,0,0,0,0
Gm24711,0,0,0,0,0,0
Gm24712,0,0,0,0,0,0
Gm24713,0,0,0,0,0,0
Gm24714,0,0,0,0,0,0
Gm24715,0,0,0,0,0,0
Gm24716,0,0,0,0,0,0
Gm24717,0,0,0,0,0,0
Gm24718,0,0,0,0,0,0
Gm24719,0,0,0,0,0,0
Gm24720,0,0,0,0,0,0
Gm24721,0,0,0,0,0,0
Gm24722,1,0,0,0,0,0
Gm24723,0,0,0,0,0,0
Gm24724,0,0,0,0,0,0
Gm24725,0,0,0,0,0,0
Gm24726,0,0,0,0,0,0
Gm24727,1,1,2,0,1,0
Gm24728,0,0,0,0,0,0
Gm24729,0,0,0,0,0,0
Gm24730,0,0,0,0,0,0
Gm24731,0,0,0,0,0,0
Gm24732,0,0,0,0,0,0
Gm24733,0,0,0,0,0,0
Gm24734,0,0,0,0,0,0
Gm24735,0,0,0,0,0,0
Gm24736,0,0,0,0,0,0
Gm24737,0,0,0,0,1,0
Gm24738,0,0,0,0,0,0
Gm24739,0,0,0,0,0,0
Gm2474,0,0,0,0,0,0
Gm24741,0,0,0,0,0,0
Gm24744,0,0,0,0,0,0
Gm24745,0,0,0,0,0,0
Gm24747,0,0,0,0,0,0
Gm24748,0,0,0,0,0,0
Gm24749,0,0,0,0,0,0
Gm24750,0,0,0,0,0,0
Gm24751,0,0,0,0,0,0
Gm24752,0,0,0,0,0,0
Gm24753,0,0,0,0,0,0
Gm24754,0,0,0,0,0,0
Gm24755,0,0,0,0,0,0
Gm24756,0,0,0,0,0,0
Gm24757,0,0,0,0,0,0
Gm24759,0,0,0,0,0,0
Gm24760,0,0,0,0,0,0
Gm24761,0,0,0,0,0,0
Gm24762,1,0,0,1,0,1
Gm24763,0,0,0,0,0,0
Gm24764,0,0,0,0,0,0
Gm24765,0,0,0,0,0,0
Gm24766,0,0,0,0,0,0
Gm24767,0,0,0,0,0,0
Gm24768,0,0,0,0,0,0
Gm24769,0,0,0,0,0,0
Gm24770,0,0,0,0,0,0
Gm24771,0,0,0,0,0,0
Gm24772,0,0,0,0,0,0
Gm24773,0,0,0,0,0,0
Gm24774,0,0,0,0,0,0
Gm24775,0,0,0,0,0,0
Gm24776,0,0,0,0,0,0
Gm24777,0,0,0,0,0,0
Gm24780,0,0,0,0,0,0
Gm24781,0,0,0,0,0,0
Gm24782,0,0,0,0,0,0
Gm24783,0,0,0,0,0,0
Gm24784,0,0,0,0,0,0
Gm24786,7,4,2,0,4,0
Gm24787,0,0,0,0,0,0
Gm24788,0,0,0,0,0,0
Gm24789,0,0,0,0,0,0
Gm2479,2,0,0,0,0,2
Gm24790,0,0,0,0,0,0
Gm24791,0,0,0,0,0,0
Gm24792,0,0,0,0,0,0
Gm24793,0,0,0,0,0,0
Gm24794,0,0,0,0,0,0
Gm24795,0,0,0,0,0,0
Gm24796,0,0,0,0,0,0
Gm24797,0,0,0,0,0,0
Gm24798,0,0,0,0,0,0
Gm24799,0,0,0,0,0,0
Gm24801,0,0,0,0,0,0
Gm24802,0,0,0,0,0,0
Gm24803,0,0,0,0,0,0
Gm24804,0,0,0,0,0,0
Gm24805,0,0,0,0,0,0
Gm24806,0,0,0,0,0,0
Gm24808,0,0,0,0,0,0
Gm24809,0,0,0,0,0,0
Gm24810,0,0,0,0,0,0
Gm24811,0,0,0,0,0,0
Gm24812,0,0,0,0,0,0
Gm24813,0,0,0,0,0,0
Gm24816,0,0,0,0,1,0
Gm24817,0,0,0,0,0,0
Gm24818,0,0,0,0,0,0
Gm24819,0,0,0,0,0,0
Gm24823,0,0,0,0,0,0
Gm24824,0,0,0,0,0,0
Gm24826,0,0,0,0,0,0
Gm24828,0,0,0,0,0,0
Gm24829,0,0,0,0,0,0
Gm24830,0,0,0,0,0,0
Gm24831,0,0,0,0,0,0
Gm24833,0,0,0,0,0,0
Gm24835,0,0,0,0,0,0
Gm24836,0,0,0,0,0,0
Gm24837,0,0,0,0,0,0
Gm24838,0,0,0,0,0,0
Gm24839,0,0,0,0,0,0
Gm24840,0,2,0,0,1,0
Gm24841,0,0,0,0,0,0
Gm24842,0,0,0,0,0,0
Gm24843,0,0,0,0,0,0
Gm24844,0,0,0,0,0,0
Gm24845,0,0,0,0,0,0
Gm24846,0,0,0,0,0,0
Gm24847,0,0,0,0,0,0
Gm24848,0,0,0,0,0,0
Gm24850,0,0,0,0,0,0
Gm24851,0,0,0,0,0,0
Gm24853,0,0,0,0,0,0
Gm24854,0,0,0,0,0,0
Gm24855,0,0,0,0,0,0
Gm24856,0,0,0,0,0,0
Gm24857,0,0,0,0,0,0
Gm24858,0,0,0,0,0,0
Gm24859,0,0,0,0,0,0
Gm24860,0,0,0,0,0,0
Gm24861,0,0,0,0,0,0
Gm24862,0,0,0,0,0,0
Gm24863,0,0,0,0,0,0
Gm24865,0,0,0,0,0,0
Gm24866,0,0,0,0,0,0
Gm24867,0,0,0,0,0,0
Gm24868,0,0,0,0,0,0
Gm24869,0,0,0,0,0,0
Gm24870,0,0,0,0,0,0
Gm24871,0,0,0,0,0,0
Gm24872,0,0,0,0,0,0
Gm24873,0,0,0,0,0,0
Gm24875,0,0,0,0,0,0
Gm24876,0,0,0,0,0,0
Gm24877,0,0,0,0,0,0
Gm24878,0,0,1,0,0,0
Gm24879,2,0,0,0,1,0
Gm24880,0,0,0,0,0,0
Gm24883,0,0,0,0,0,0
Gm24884,0,0,0,0,0,0
Gm24885,0,1,0,0,0,0
Gm24886,0,0,0,0,0,0
Gm24887,0,0,0,0,0,0
Gm24888,1,0,0,1,1,2
Gm24889,0,0,0,0,0,0
Gm24890,0,0,0,0,0,0
Gm24891,0,0,0,0,0,0
Gm24892,0,0,0,0,0,0
Gm24893,0,0,0,0,0,2
Gm24894,0,0,0,0,0,0
Gm24895,0,0,0,0,0,0
Gm24896,0,0,0,0,0,0
Gm24897,0,0,0,0,0,0
Gm24898,0,0,0,0,0,0
Gm24899,0,0,0,0,0,0
Gm24900,0,0,0,0,0,0
Gm24901,0,0,0,0,0,0
Gm24902,0,0,0,0,0,0
Gm24903,0,0,0,0,0,0
Gm24905,0,0,0,0,0,0
Gm24907,0,0,0,0,0,0
Gm24908,0,0,0,0,0,0
Gm24909,0,0,0,0,0,0
Gm24910,0,0,0,0,0,0
Gm24911,0,0,0,0,0,0
Gm24912,0,0,0,0,0,0
Gm24913,0,0,0,0,0,0
Gm24914,0,0,0,0,0,0
Gm24915,0,0,0,0,0,0
Gm24916,0,0,0,0,0,0
Gm24917,0,0,0,0,0,0
Gm24918,0,0,0,1,0,0
